id,title,estimate_player,url,price,discount,popularity
33930,"Arma 2: Operation Arrowhead",4514397,https://steampricehistory.com/app/33930,19.99,0.0,"15,220"
241930,"Middle-earth: Shadow of Mordor",4468234,https://steampricehistory.com/app/241930,19.99,0.0,"41,561"
104900,"ORION: Prelude",4419554,https://steampricehistory.com/app/104900,0.99,0.0,"19,676"
300,"Day of Defeat: Source",4419447,https://steampricehistory.com/app/300,9.99,0.0,"9,785"
489830,"The Elder Scrolls V: Skyrim Special Edition",4398897,https://steampricehistory.com/app/489830,39.99,0.0,"61,541"
211820,Starbound,4309358,https://steampricehistory.com/app/211820,14.99,0.0,"108,476"
48700,"Mount & Blade: Warband",4219791,https://steampricehistory.com/app/48700,19.99,0.0,"96,519"
244850,"Space Engineers",4204751,https://steampricehistory.com/app/244850,19.99,0.0,"73,783"
251570,"7 Days to Die",4184553,https://steampricehistory.com/app/251570,24.99,0.0,"109,287"
8190,"Just Cause 2",4161156,https://steampricehistory.com/app/8190,14.99,0.0,"34,626"
8980,Borderlands,4079485,https://steampricehistory.com/app/8980,20.09,-33%,"17,834"
265930,"Goat Simulator",4065978,https://steampricehistory.com/app/265930,9.99,0.0,"42,349"
232090,"Killing Floor 2",3980635,https://steampricehistory.com/app/232090,29.99,0.0,"65,746"
380,"Half-Life 2: Episode One",3917529,https://steampricehistory.com/app/380,7.99,0.0,"11,963"
42700,"Call of Duty: Black Ops",3759377,https://steampricehistory.com/app/42700,39.99,0.0,"7,610"
205100,Dishonored,3700352,https://steampricehistory.com/app/205100,9.99,0.0,"42,457"
289070,"Sid MeierÛªs Civilization VI",3680328,https://steampricehistory.com/app/289070,14.99,-75%,"101,137"
238460,"BattleBlock Theater",3605148,https://steampricehistory.com/app/238460,14.99,0.0,"44,603"
391540,Undertale,3581310,https://steampricehistory.com/app/391540,9.99,0.0,"127,319"
35450,"Red Orchestra 2: Heroes of Stalingrad with Rising Storm",3501161,https://steampricehistory.com/app/35450,19.99,0.0,"21,351"
10500,"Empire: Total War",3491439,https://steampricehistory.com/app/10500,24.99,0.0,"12,351"
239140,"Dying Light",3467531,https://steampricehistory.com/app/239140,39.99,0.0,"160,370"
214950,"Total War: ROME II - Emperor Edition",3350407,https://steampricehistory.com/app/214950,59.99,0.0,"37,742"
374320,"DARK SOULS III",3294533,https://steampricehistory.com/app/374320,59.99,0.0,"156,644"
420,"Half-Life 2: Episode Two",3281382,https://steampricehistory.com/app/420,7.99,0.0,"17,735"
48000,LIMBO,3207480,https://steampricehistory.com/app/48000,9.99,0.0,"19,016"
379720,DOOM,3197626,https://steampricehistory.com/app/379720,19.99,0.0,"90,348"
477160,"Human: Fall Flat",3097845,https://steampricehistory.com/app/477160,5.99,-60%,"95,511"
311210,"Call of Duty: Black Ops III",3021623,https://steampricehistory.com/app/311210,59.99,0.0,"41,863"
202970,"Call of Duty: Black Ops II",2998561,https://steampricehistory.com/app/202970,59.99,0.0,"11,332"
40800,"Super Meat Boy",2970487,https://steampricehistory.com/app/40800,14.99,0.0,"20,535"
264710,Subnautica,2866791,https://steampricehistory.com/app/264710,29.99,0.0,"141,447"
233450,"Prison Architect",2856218,https://steampricehistory.com/app/233450,29.99,0.0,"43,889"
207610,"The Walking Dead",2846244,https://steampricehistory.com/app/207610,14.99,0.0,"31,619"
282070,"This War of Mine",2817954,https://steampricehistory.com/app/282070,19.99,0.0,"56,525"
238320,Outlast,2813619,https://steampricehistory.com/app/238320,19.99,0.0,"44,295"
203140,"Hitman: Absolution",2805822,https://steampricehistory.com/app/203140,19.99,0.0,"24,025"
35720,"Trine 2: Complete Story",2791654,https://steampricehistory.com/app/35720,19.99,0.0,"13,171"
250900,"The Binding of Isaac: Rebirth",2756509,https://steampricehistory.com/app/250900,14.99,0.0,"109,982"
207140,SpeedRunners,2753552,https://steampricehistory.com/app/207140,14.99,0.0,"17,547"
57300,"Amnesia: The Dark Descent",2609222,https://steampricehistory.com/app/57300,19.99,0.0,"13,986"
65980,"Sid Meier's Civilization: Beyond Earth",2606575,https://steampricehistory.com/app/65980,9.99,-75%,"12,002"
210770,"Sanctum 2",2602292,https://steampricehistory.com/app/210770,14.99,0.0,"6,902"
219150,"Hotline Miami",2584720,https://steampricehistory.com/app/219150,9.99,0.0,"50,035"
107100,Bastion,2577876,https://steampricehistory.com/app/107100,14.99,0.0,"24,160"
213670,"South Park: The Stick of Truth",2533584,https://steampricehistory.com/app/213670,29.99,0.0,"34,129"
15620,"Warhammer 40,000: Dawn of War II",2492053,https://steampricehistory.com/app/15620,19.99,0.0,"4,475"
391220,"Rise of the Tomb Raider",2491210,https://steampricehistory.com/app/391220,29.99,0.0,"71,772"
65300,"Dustforce DX",2490746,https://steampricehistory.com/app/65300,9.99,0.0,973
65800,"Dungeon Defenders",2483252,https://steampricehistory.com/app/65800,14.99,0.0,"8,687"
200260,"Batman: Arkham City - Game of the Year Edition",2467996,https://steampricehistory.com/app/200260,19.99,0.0,"24,419"
209080,"Guns of Icarus Online",2424726,https://steampricehistory.com/app/209080,4.99,0.0,"8,293"
70000,"Dino D-Day",2364083,https://steampricehistory.com/app/70000,9.99,0.0,"7,753"
225540,"Just Cause 3",2345094,https://steampricehistory.com/app/225540,19.99,0.0,"64,770"
239030,"Papers, Please",2306775,https://steampricehistory.com/app/239030,9.99,0.0,"35,861"
286160,"Tabletop Simulator",2297649,https://steampricehistory.com/app/286160,19.99,0.0,"24,291"
