id,year,review_score,total_positive,total_negative,total_reviews,Players
363680,2016,5,2763,1239,4002,321637
363930,2016,8,2383,487,2870,122734
364200,2016,7,43,5,48,3954
364230,2016,8,192,6,198,15643
364300,2016,5,209,95,304,13915
364390,2016,8,428,30,458,12578
364720,2016,7,10,1,11,835
364830,2016,8,50,3,53,5025
364910,2016,5,61,66,127,58611
365190,2016,8,164,28,192,20949
365200,2016,4,5,10,15,448
365300,2016,8,6727,416,7143,625220
365440,2016,5,21,10,31,3616
366180,2016,5,43,20,63,8003
366230,2016,6,28,10,38,6226
366240,2016,6,87,25,112,5045
366260,2016,8,158,25,183,21016
366270,2016,7,42,7,49,6224
366280,2016,6,72,19,91,8061
366320,2016,8,1062,209,1271,98326
366440,2016,5,762,571,1333,105183
366620,2016,7,31,5,36,6461
366690,2016,6,61,18,79,4240
366760,2016,6,465,164,629,180595
366780,2016,7,25,1,26,2041
367140,2016,7,38,3,41,1216
367450,2016,8,2802,325,3127,806360
367500,2016,8,10682,1263,11945,970603
368080,2016,6,138,58,196,21510
368430,2016,6,337,105,442,16808
368570,2016,8,231,13,244,8129
368640,2016,8,196,41,237,14141
368680,2016,8,68,2,70,3687
368740,2016,6,144,54,198,14810
368800,2016,8,111,17,128,8051
369030,2016,5,136,91,227,23830
369070,2016,6,830,334,1164,61787
369230,2016,5,21,16,37,1394
369550,2016,8,138,23,161,7859
369990,2016,8,2463,375,2838,211874
370060,2016,8,185,33,218,14412
370130,2016,5,19,16,35,10020
370280,2016,8,1223,71,1294,19363
370670,2016,8,88,2,90,1360
370840,2016,5,40,29,69,2688
370910,2016,8,968,61,1029,49640
370940,2016,7,45,4,49,8043
371010,2016,5,94,46,140,7708
371200,2016,8,1012,189,1201,125302
371880,2016,6,42,11,53,4251
372160,2016,5,10,13,23,489
372350,2016,8,78,10,88,3009
372360,2016,8,1629,372,2001,221667
372430,2016,4,5,10,15,398
372490,2016,5,64,38,102,59606
372540,2016,5,1021,478,1499,42192
372690,2016,8,149,31,180,7106
372750,2016,5,58,86,144,32912
373480,2016,5,92,55,147,13878
373650,2016,6,72,26,98,7438
373720,2016,5,175,100,275,62827
373770,2016,9,2083,74,2157,101532
373880,2016,4,9,17,26,711
373920,2016,5,121,97,218,7148
373990,2016,6,120,47,167,19193
374030,2016,5,1091,530,1621,49839
374050,2016,5,35,26,61,4253
374150,2016,7,17,2,19,1986
374170,2016,5,15,12,27,1328
374520,2016,5,60,63,123,7333
374670,2016,8,790,142,932,60741
374900,2016,6,549,147,696,66443
375210,2016,8,46,5,51,2054
375230,2016,5,4851,5089,9940,502562
375680,2016,4,86,198,284,159054
376250,2016,6,32,10,42,5444
376310,2016,4,187,336,523,24995
376450,2016,5,32,15,47,2807
376520,2016,8,260,32,292,22421
376570,2016,6,2824,1158,3982,857109
376880,2016,6,43,16,59,3666
377140,2016,5,334,244,578,20087
377480,2016,5,82,39,121,6239
377690,2016,8,134,8,142,8126
377840,2016,8,3430,261,3691,333922
377880,2016,8,132,21,153,7768
377980,2016,5,34,30,64,9041
378070,2016,6,37,11,48,1344
378260,2016,6,61,19,80,7766
378700,2016,5,21,10,31,510
378800,2016,5,192,104,296,18471
378810,2016,7,32,8,40,7750
378930,2016,5,69,32,101,8135
379420,2016,8,94,13,107,7665
379610,2016,7,36,4,40,2039
380100,2016,7,12,1,13,1610
380220,2016,5,482,222,704,60211
380660,2016,8,56,7,63,1738
380670,2016,8,303,15,318,31446
380750,2016,6,286,112,398,20773
381120,2016,5,1379,839,2218,193100
381320,2016,8,53,13,66,5496
381340,2016,7,18,1,19,409
381880,2016,8,64,7,71,4611
382050,2016,8,492,59,551,68385
382260,2016,8,237,18,255,15765
382420,2016,5,107,96,203,10032
383020,2016,5,7,6,13,555
383070,2016,5,16,20,36,2191
383150,2016,6,2372,948,3320,335791
383180,2016,5,526,268,794,117625
383230,2016,6,1259,390,1649,106207
383270,2016,8,608,38,646,28775
383790,2016,5,295,212,507,51261
383870,2016,8,28348,4871,33219,959053
383930,2016,8,297,54,351,36687
384080,2016,5,140,91,231,18891
384100,2016,7,30,7,37,1662
384180,2016,6,1205,328,1533,247520
384190,2016,8,13482,1051,14533,577340
384330,2016,6,38,16,54,3111
384480,2016,8,66,7,73,18651
384490,2016,5,2179,1140,3319,180526
384500,2016,8,476,72,548,25829
384750,2016,5,132,140,272,16340
384940,2016,6,19,5,24,7083
385240,2016,8,628,138,766,80668
385370,2016,8,1925,315,2240,154848
385560,2016,8,498,88,586,71503
385730,2016,5,1598,938,2536,141022
385760,2016,5,4097,3570,7667,501303
385950,2016,4,7,13,20,4697
386080,2016,8,129,30,159,8483
386490,2016,5,81,54,135,35737
386650,2016,5,68,54,122,5525
386690,2016,6,188,51,239,98151
386750,2016,6,37,15,52,6997
386940,2016,9,5401,284,5685,770483
387090,2016,5,17,13,30,1710
387290,2016,9,12030,454,12484,764826
387340,2016,8,2086,141,2227,108610
387370,2016,6,241,94,335,29848
387400,2016,3,3,15,18,598
388210,2016,9,2167,57,2224,265169
388320,2016,6,533,160,693,23358
388750,2016,8,1755,152,1907,176322
388880,2016,8,5274,365,5639,280771
388900,2016,6,78,24,102,6570
389040,2016,5,866,602,1468,45174
389050,2016,6,115,30,145,5389
389120,2016,6,12,5,17,774
389170,2016,8,748,68,816,23221
389190,2016,6,52,19,71,5643
389510,2016,8,1148,101,1249,24581
390040,2016,6,177,67,244,14004
390310,2016,5,88,43,131,6929
390330,2016,6,43,12,55,3475
390340,2016,4,523,1440,1963,79802
390460,2016,5,11,8,19,6841
390680,2016,7,39,1,40,3372
390720,2016,8,225,11,236,15074
390730,2016,8,207,12,219,12100
390930,2016,7,36,5,41,1145
391040,2016,8,3016,551,3567,318467
391310,2016,5,103,47,150,57739
391550,2016,5,13,8,21,571
391600,2016,6,84,33,117,35685
391720,2016,8,10917,1172,12089,1203631
391730,2016,8,1376,204,1580,112130
391820,2016,5,17,20,37,9709
392000,2016,6,216,57,273,12659
392030,2016,8,56,2,58,3988
392120,2016,5,11,12,23,8748
392190,2016,6,68,24,92,6851
392260,2016,6,132,34,166,10395
392410,2016,6,186,77,263,23968
392580,2016,6,408,127,535,45755
392680,2016,6,28,10,38,6630
392970,2016,8,145,10,155,7041
393200,2016,8,427,80,507,19637
393230,2016,4,9,33,42,18953
393430,2016,8,702,126,828,113121
393460,2016,5,35,24,59,10459
393530,2016,5,1283,636,1919,310042
393750,2016,5,106,55,161,5204
393790,2016,6,68,20,88,17344
393820,2016,5,21,30,51,1283
393860,2016,5,16,8,24,1909
393930,2016,5,251,139,390,121719
394130,2016,8,119,6,125,15129
394160,2016,8,179,41,220,44054
394230,2016,5,5233,3224,8457,492052
394260,2016,6,28,10,38,7498
394310,2016,6,5316,1464,6780,541121
394360,2016,8,19863,3491,23354,1352834
394540,2016,6,306,82,388,128550
394690,2016,8,3715,601,4316,229619
394700,2016,8,243,43,286,24002
394760,2016,6,868,313,1181,86791
394970,2016,9,1845,88,1933,123529
395100,2016,7,11,2,13,4622
395350,2016,5,180,103,283,12817
395470,2016,5,25,12,37,1210
395500,2016,8,183,29,212,4538
395570,2016,6,387,158,545,35242
395620,2016,8,106,17,123,3964
395850,2016,8,315,57,372,14195
396320,2016,5,15,10,25,4129
396480,2016,8,450,98,548,37826
396650,2016,9,852,35,887,21258
396660,2016,8,74,18,92,2172
396680,2016,6,34,11,45,2926
396700,2016,7,20,1,21,191
397090,2016,8,53,10,63,5128
397150,2016,6,371,107,478,36201
397390,2016,6,103,38,141,13400
397730,2016,5,23,18,41,1196
397820,2016,5,22,17,39,2123
397860,2016,7,16,2,18,692
397950,2016,8,3521,370,3891,368787
398120,2016,5,14,19,33,2194
398150,2016,5,24,18,42,9021
398170,2016,8,200,45,245,17066
398670,2016,5,6,6,12,638
398680,2016,5,451,215,666,106560
398850,2016,9,2761,120,2881,167656
398890,2016,7,16,4,20,1244
399130,2016,5,63,72,135,22591
399530,2016,7,10,2,12,4781
399600,2016,8,289,10,299,6414
399820,2016,8,1046,229,1275,94463
400020,2016,6,253,68,321,38154
400030,2016,5,108,90,198,51883
400180,2016,8,487,112,599,89332
400360,2016,5,74,35,109,5240
400450,2016,8,232,51,283,20385
400510,2016,5,127,117,244,36990
400630,2016,9,1142,44,1186,70101
400800,2016,6,259,101,360,26799
400880,2016,4,6,18,24,1658
400910,2016,9,5359,110,5469,153932
401360,2016,6,198,58,256,12607
401510,2016,7,14,1,15,283
401680,2016,8,894,93,987,55987
401820,2016,6,83,29,112,4466
401890,2016,6,126,48,174,8931
402040,2016,8,294,72,366,19291
402060,2016,6,125,49,174,5358
402150,2016,6,36,12,48,3340
402260,2016,8,286,64,350,22012
402310,2016,8,314,56,370,19052
