id,category,genre
299740,"1,20,49,36,22,29,18,23,8","1,25,23,29,3,28,2"
247080,"2,1,9,39,22,28,29,13,30,23,25,17,41,42,43,44","1,23,3"
646570,"2,22,28,29,30,23,15,25,41,42,43","23,2"
42120,"1,22,18,23,15,25",1
102600,"2,22,18,23,15,25","1,23,2"
236450,"2,22,28,23,25",1
55150,"2,1,22,28,25,43",1
21100,"2,1,9,22,18,23,25",1
204880,"2,1,49,36,47,9,38,48,22,29,23,17","1,23,28,2"
34870,"2,1,22,28,25",1
206440,"2,22,28,29,23","25,23,3"
249050,"2,1,9,38,22,29,18,23","25,23,3,2"
310560,"2,1,22,28,29,30,23,8,25,41,42,43","9,28,18"
98200,"2,1,22,29,32","23,2"
225080,"2,28","1,25,23"
261030,"2,22,28",25
447820,"1,49,36,9,38,22,30,18,23,15,17,16","1,23,2"
40100,"2,1,22,15,25",2
221640,"2,28","1,23"
475150,"2,1,49,36,9,38,22,29,30,18,23,17","1,3"
274170,"2,22,28,30,23,25,17,43","1,23"
582160,"2,22,29,13,35,18,42","1,25,3"
41000,"2,1,49,36,37,9,38,39,24,22,29,18,23,25,44","1,23"
286570,"2,1,27,22,28,29,23,25,43","9,18"
323580,"2,22,28,29,23,43","1,25,23"
244450,"2,1,9,22,29,30,23,15,25,17","1,28,2"
26800,"2,22,28,23,43","4,23,2"
250320,"2,22,28,43","1,25,4"
21690,"2,1,9,22,28,29,23,25","1,25"
258970,"2,1,9,24,22,28,29,23,15,25,41,42,43,44","1,25,3"
367520,"2,22,28,29,23,41,42,43","1,25,23"
249130,"2,1,24,22,28,23,41,42,43,44","1,25"
220440,"2,22,28,29,23,25","1,25"
22000,"2,22,29,23",23
302510,"2,1,9,22,28,29,23,15,25,43",1
234630,"2,1,22,29,31,18,25","9,28,18"
394510,"2,1,9,38,39,24,22,28,23,8,42,43,44",1
367500,"2,22,28,29,23,25,41,42,43","1,25,3"
349040,"2,1,49,37,22,28,23,25,41,42,43,44","1,25"
383870,"2,22,28,29,23,41,42,43,44","25,23"
239070,"2,1,9,38,39,24,22,29,30,18,17,44","1,25,23,3"
594570,"2,1,49,36,47,9,38,48,22,29,30,42","1,2"
323850,"2,1,49,36,47,37,9,38,48,39,24,22,28,29,30,23,15,17,41,42,43,44","1,23"
418460,"1,49,36,22,29,30,35,15,17","1,29,28,2"
356190,"2,22,28,29,35,23","1,25,3"
240720,"2,18,14,41,42",1
236090,"2,22,28,29,23,43","1,25,23,3"
296470,"2,1,49,36,37,24,22,29,18,25,41,42,44","23,28,18"
301640,"2,1,9,22,28,29,23,25,43",1
34830,"2,1,22,18",1
307690,"2,22,28,25,42,43","1,25,9"
257510,"2,22,28,29,30,23,17,43","1,25,23"
313160,"2,1,9,27,22,29,18,23",28
374040,"2,1,9,39,22,30,18,23,42,44","1,25,3"
239350,"2,1,49,37,9,39,24,22,28,29,25,41,42,43,44",23
13210,"2,1,9,22",1
222730,"2,22,29","23,28,2"
476600,"2,1,49,36,37,9,38,39,22,28,29,35,23,8,43",1
311340,"2,22,28,23,25","1,25"
57900,"2,1,22,18,23,15,25",1
39800,"2,1,49,36,9,38,39,24,27,22,28,29,23,25,44","1,23"
365450,"2,22,29,13,30,23,17","23,28"
292730,"2,1,49,36,9,38,22,28,8,43","1,25"
434650,"2,1,49,36,37,9,38,39,24,22,28,29,23,41,42,43,44","1,25,23,3"
287450,"2,1,9,22,29,23,15,25","28,2"
238370,"2,1,9,24,22,28,29,41,42,43,44","1,25"
339800,"2,22,29","23,3,28,2"
360430,"2,22,28,29,23,42,43","1,25"
1200,"1,22,8",1
334230,"1,27,22,35,23","23,3,2"
322500,"2,22,28,29,23,41,42,43","1,23"
434570,"2,1,49,36,9,38,22,28,29,30,23,15,25","1,25,4"
209670,"2,1,24,22,28,29,30,23,17,44","1,23,2"
233840,"2,1,24,22,29,30,18,23,25,17,44",2
341800,"1,9,39,24,22,28,31,30,15,25,43,44",23
588650,"2,22,28,29,30,23,41,42,43","1,25,23"
232890,"2,1,49,36,9,38,22,29,30,23,17","28,2"
379430,"2,22,28,29,23,43","1,25,3"
244210,"2,1,49,36,22,18,25,17","23,9,28,18"
323470,"2,1,9,22,28,29,23,25,41,42,43",1
518790,"2,1,9,38,22,28,35,23","25,28,18"
648800,"2,1,9,38,22,23","25,23,28"
367450,"2,22,29,30,23,15,25,17,41,42","23,28"
284160,"2,22,29,18,23,17,41,42,44","9,28,70"
447020,"2,1,9,27,22,28,29,23,43",28
211400,"2,22,28,29,23,43","1,25,23"
94400,"2,1,36,37,24,22,28,29,15,25,43,44","1,23,18"
466560,"2,1,49,36,9,38,22,29,23","23,28,2"
55110,"2,1,9,22,18,23,8,25",1
386940,"1,49,36,37,9,38,39,24,27,22,28,29,23,17,41,42,43,44","1,4,23"
91700,"2,1,49,36,47,9,38,48,24,22,29,18,15,25,44","1,23,3"
294860,"2,22,28,29,23","1,3,2"
387290,"2,22,28,23,15,41,42,43",1
226840,"2,1,9,24,27,22,29,30,23,17,44","3,2"
70300,"2,22,28,29,43","1,23"
207170,"2,22,30,17","25,23,3"
644930,"2,22,29,30,23,15,25,17,42",2
96100,"2,22,28,29,13","1,4,23"
107200,"2,22,29,23,15","1,23,3,2"
332310,"2,1,49,36,9,38,24,22,28,41,42,43,44",25
392110,"2,1,49,36,27,22,29,30,23,42",2
237990,"2,22,28,29,13,23,17,42,43","23,3,2"
228280,"2,1,9,27,22,29,13,23","25,3"
214340,"2,22,29,23,41,42","25,23"
265300,"2,22,29,18,23","1,3"
304650,"2,22,29,23","25,23,3"
268050,"2,22,28,29,13,23,43",1
215470,"1,49,36,22,29,18,8","1,23"
244160,"2,1,22,30,23","28,2"
215530,"2,1,9,27,22,28,29,23,15,25,43","1,25,23,3"
622650,"2,22,28,43","1,25,23,2"
312660,"2,1,9,22,28,29,23,25,43","1,25"
428690,"2,22,28,29,23","25,4,23,28,2"
261180,"2,1,24,27,22,28,29,23,43,44","1,23,18"
40390,"2,22,29,18,15",3
1520,"2,1","23,2"
63200,"2,1,9,22,18,8,15,25","1,2,23,18"
292120,"2,22,29,18,23,41,42",3
254700,"2,22,28,29,13,23,25","1,25"
480490,"2,22,28,29,23,43","1,25"
7520,"2,1,49,36,9,38,27,22,28,29,35,23,43",3
206190,"2,22,29,13,23,17,41,42,44","1,23,2"
246900,"2,1,9,38,48,39,24,22,28,29,30,23,17,44","23,28"
235460,"2,22,28,23",1
245470,"2,22,29,30,25","23,28,2"
92800,"2,22,29,23,25","23,28"
285190,"2,1,49,36,22,29,30,23,15,17","1,28,2"
323190,"2,22,29,23,41,42","28,2"
264200,"2,22,18,25","1,4,23"
234670,"2,1,49,36,37,22,28,23,15,25,44","1,25"
304430,"2,22,28,29,23","1,25,23"
265590,"2,1,49,36,9,38,22,29,13,23,15,25","1,3,2"
418370,"2,22,28,29,23","1,25"
439190,"2,22,28,29,23,43","1,25,23,3"
287290,"2,1,9,38,39,22,28,29,23,25,41,42,43,44","1,25"
250180,"2,1,9,38,39,22,28,29,23,25,41,42,43,44",1
71340,"2,22,28,23,15,25,41,42,43",1
63710,"2,22,28,29,23,25","1,23"
305050,"2,1,9,22,28,29,23,25,43","1,25,23"
17710,"1,49,36,47,27,22,29,30,18,23,8,15,17","1,2"
39160,"2,1,9,22,23","1,3"
22230,"2,1,49,36,37,9,24,22,29,18,23,25","1,23,9,2"
438740,"1,22,28,15,25,43",1
