id,year,review_score,total_positive,total_negative,total_reviews,Players
80310,2011,8,1141,114,1255,130615
80330,2012,8,789,96,885,79474
80340,2012,8,322,21,343,52347
80350,2012,8,258,14,272,49385
80360,2012,8,282,10,292,46844
90200,2010,8,312,54,366,99303
90500,2010,5,61,89,150,43341
91100,2011,8,725,87,812,120532
91200,2011,8,3132,420,3552,567765
91600,2011,8,2469,271,2740,2088528
91700,2011,8,4113,795,4908,768052
91800,2011,8,68,8,76,11099
91810,2011,6,19,7,26,7392
92000,2011,5,1241,776,2017,186396
92100,2011,5,1034,611,1645,341194
92200,2011,8,117,7,124,28454
92210,2011,8,130,25,155,26273
92220,2011,8,113,21,134,31444
92300,2011,6,561,236,797,107351
92600,2011,6,123,39,162,36670
92800,2011,8,3525,300,3825,682706
93200,2011,8,807,143,950,340794
94200,2011,9,1935,100,2035,413206
95000,2013,6,114,34,148,54626
95300,2011,6,682,195,877,246235
95900,2011,5,153,99,252,48356
96800,2012,5,165,95,260,404730
96900,2013,5,21,16,37,17482
97000,2011,8,1484,150,1634,339780
97330,2012,8,906,114,1020,452484
98200,2011,8,1952,399,2351,1065406
98300,2012,8,968,101,1069,213463
98400,2012,8,2970,548,3518,335265
98600,2011,8,196,49,245,88003
98800,2011,8,3799,218,4017,554550
98900,2011,5,126,75,201,15773
99100,2011,4,96,269,365,114696
99120,2011,5,30,18,48,3388
99200,2011,8,97,10,107,16240
99300,2011,8,1628,261,1889,297463
99400,2011,5,146,158,304,28250
99700,2011,8,713,93,806,223790
99900,2011,8,13847,2717,16564,5226655
99910,2011,8,922,212,1134,469196
102200,2011,6,251,76,327,72893
102400,2011,5,20,9,29,14275
102600,2011,9,5168,154,5322,1105153
102810,2011,8,81,18,99,24340
104000,2011,6,142,45,187,56863
104020,2012,6,87,35,122,18474
104900,2013,6,20385,6841,27226,4419554
105000,2012,6,898,291,1189,108523
105300,2011,6,282,73,355,67693
105420,2013,6,154,42,196,25827
105700,2011,5,70,47,117,31754
105800,2012,8,536,127,663,154398
107100,2011,9,25848,899,26747,2577876
107200,2011,8,2296,178,2474,753148
107410,2013,8,89908,9762,99670,6404450
107800,2011,8,1416,124,1540,211829
108200,2012,8,1262,227,1489,295151
108210,2011,5,169,100,269,163923
108500,2012,8,515,66,581,150153
108700,2012,6,357,147,504,370163
108710,2012,8,19943,1754,21697,1804210
109700,2011,5,53,30,83,11021
110500,2011,5,51,24,75,11517
110600,2011,5,27,26,53,10550
110610,2011,6,47,17,64,9532
110630,2012,5,23,15,38,6409
110800,2011,8,12349,1856,14205,1596369
111100,2012,8,340,75,415,89897
111300,2011,6,21,8,29,5726
111400,2011,5,181,199,380,160728
111600,2011,8,476,77,553,138384
111800,2011,6,536,148,684,210782
111900,2013,4,271,991,1262,205359
112100,2011,8,321,70,391,120153
113020,2013,8,6583,653,7236,2153213
113200,2011,9,40199,1673,41872,7172818
113400,2011,5,17657,10053,27710,5874946
113420,2012,5,3637,2788,6425,2139999
115100,2011,8,2459,177,2636,341308
115110,2012,8,1187,135,1322,248039
115120,2012,8,510,108,618,109286
116120,2011,6,106,28,134,23805
200010,2012,8,1107,196,1303,215834
200020,2011,5,116,169,285,19246
200130,2011,6,145,45,190,22225
200170,2012,8,3428,597,4025,1730275
200190,2011,5,65,39,104,24241
200210,2012,8,20195,3857,24052,3757613
200260,2012,9,22372,994,23366,2467996
200370,2012,5,266,154,420,81571
200410,2012,5,45,45,90,28307
200550,2011,4,60,102,162,74874
200710,2012,8,27172,1507,28679,4963949
200900,2011,9,4698,217,4915,590104
200910,2011,8,1095,165,1260,150501
200940,2012,8,1918,197,2115,241011
201420,2013,8,620,119,739,147483
201510,2011,1,236,1662,1898,126375
201570,2012,6,1366,430,1796,355611
202070,2012,8,178,37,215,32935
202130,2013,5,171,199,370,83551
202310,2012,5,476,400,876,133909
202370,2012,5,31,20,51,8726
202410,2012,8,103,20,123,28405
202530,2012,5,530,609,1139,144813
202730,2012,8,334,54,388,63976
202750,2012,6,3171,1257,4428,521355
202970,2012,8,22831,3964,26795,2998561
203140,2012,8,19955,2076,22031,2805822
203160,2013,9,77826,3230,81056,5495033
203210,2012,8,759,72,831,98665
203290,2013,6,5651,1655,7306,1823295
203350,2012,8,653,138,791,163165
203560,2012,8,197,44,241,29542
203650,2012,6,558,165,723,83454
203750,2012,8,3971,637,4608,306463
203770,2012,8,24221,3111,27332,3170312
203830,2012,8,1123,172,1295,188342
203990,2011,8,196,22,218,32140
204060,2012,6,1705,444,2149,439828
204100,2012,8,19080,3783,22863,1740909
204220,2012,6,155,63,218,108508
204240,2013,8,2636,331,2967,320817
204360,2012,9,42208,1596,43804,5555066
204440,2012,8,110,24,134,15198
204580,2012,7,21,4,25,4536
204760,2012,4,50,137,187,7091
204840,2012,5,47,48,95,21722
204860,2012,5,164,84,248,62294
204880,2012,8,7007,480,7487,1092043
205060,2012,5,63,47,110,32433
205070,2012,6,49,18,67,27186
205080,2013,5,62,39,101,28966
205100,2012,9,36528,1046,37574,3700352
205230,2012,8,2490,385,2875,415904
205530,2012,5,46,35,81,40835
205610,2012,5,422,186,608,203151
205650,2012,8,1399,249,1648,188089
205690,2012,6,220,60,280,22579
205730,2012,8,520,70,590,112625
205810,2012,5,103,69,172,53980
205830,2012,8,169,14,183,15944
205910,2012,8,3255,273,3528,360126
205950,2012,8,2892,517,3409,533153
206190,2013,9,9542,233,9775,702654
206210,2012,8,8363,1511,9874,2982059
206230,2012,5,24,15,39,2259
206370,2012,8,506,52,558,78881
206420,2013,8,47037,3961,50998,5275914
206440,2012,9,37990,1214,39204,1086773
206690,2012,8,402,80,482,102379
207000,2013,5,78,50,128,13444
207020,2012,6,293,75,368,37217
207040,2012,8,724,156,880,137200
207080,2012,8,1455,115,1570,184842
207170,2012,8,4305,239,4544,762137
207190,2012,5,64,64,128,15159
207250,2012,6,326,120,446,145843
207420,2012,6,512,214,726,148590
207430,2012,5,326,318,644,125071
207610,2012,9,40968,1341,42309,2846244
207670,2012,5,27,34,61,11525
207690,2012,9,3241,110,3351,330330
207710,2012,5,24,15,39,4400
207730,2012,4,123,246,369,36181
207750,2012,8,1104,193,1297,149580
207930,2013,5,592,255,847,160193
208140,2012,8,5361,1269,6630,1549005
208200,2012,8,3448,680,4128,604250
208400,2012,8,617,48,665,76233
208460,2012,4,11,35,46,12183
208520,2013,5,956,581,1537,275454
208580,2012,8,7015,800,7815,1529038
208600,2012,8,452,87,539,97537
208620,2012,5,52,27,79,13565
208630,2012,6,51,14,65,11789
208640,2012,7,44,5,49,11140
208670,2012,8,1213,283,1496,151143
208710,2012,5,23,10,33,6328
208730,2012,6,1339,544,1883,272599
209000,2013,8,17958,2944,20902,1851868
209080,2012,8,11778,1031,12809,2424726
209230,2012,8,184,37,221,18909
209330,2012,5,258,167,425,130087
209360,2012,6,39,12,51,14751
209370,2012,8,1795,116,1911,111483
209390,2012,4,15,50,65,17225
209610,2012,5,58,46,104,15167
209630,2013,8,239,42,281,21062
209670,2012,5,2479,1149,3628,841552
209690,2012,5,119,76,195,54947
209730,2012,5,265,290,555,122753
209790,2012,8,456,56,512,123113
209850,2013,5,31,18,49,9382
209870,2012,6,11300,3699,14999,4268464
209950,2012,8,546,50,596,58044
210170,2012,6,137,54,191,81780
210490,2012,3,1,47,48,5183
210770,2013,8,10689,1112,11801,2602292
210870,2013,8,159,15,174,24244
210950,2012,8,487,35,522,45117
211160,2012,5,755,907,1662,300593
211180,2012,8,355,26,381,41357
211260,2012,8,1828,286,2114,215520
211280,2013,5,165,117,282,39209
211340,2012,8,749,86,835,65990
211360,2012,8,430,89,519,147698
211400,2012,8,8581,2134,10715,795749
211420,2012,8,59608,5624,65232,3289250
211440,2012,8,907,142,1049,102718
211580,2012,5,239,221,460,178229
211800,2012,6,88,29,117,23741
212010,2012,6,965,336,1301,144458
212030,2012,6,761,195,956,87591
212050,2012,8,335,28,363,37904
212070,2013,6,7738,2335,10073,1960641
212110,2012,6,134,47,181,33044
212480,2013,9,9416,493,9909,1232451
212700,2012,5,92,86,178,46642
212780,2012,5,183,101,284,24499
213610,2012,8,3814,658,4472,416375
213650,2012,8,1229,202,1431,720104
213850,2013,8,3492,746,4238,945492
214100,2012,5,27,25,52,13942
214130,2012,5,82,45,127,14219
214340,2012,8,6368,709,7077,743347
214360,2012,6,1138,409,1547,393962
214510,2012,8,3107,320,3427,582228
214570,2012,6,175,51,226,42020
214590,2012,8,838,131,969,99774
214630,2012,5,123,90,213,39096
214730,2013,9,2903,141,3044,168841
214770,2013,8,4607,299,4906,538061
214790,2012,8,736,128,864,246622
214830,2012,8,1083,157,1240,309617
214870,2012,6,1997,602,2599,625428
214910,2012,5,159,189,348,61698
214950,2013,6,27397,7235,34632,3350407
214970,2012,8,893,173,1066,175830
215390,2012,5,6,6,12,3445
215470,2012,6,4027,1167,5194,731052
215510,2012,6,1912,503,2415,286849
215530,2013,8,4786,966,5752,726646
215630,2013,5,442,214,656,86817
215670,2012,5,1013,480,1493,183321
215690,2013,6,719,231,950,146186
215710,2013,8,259,53,312,51792
215770,2012,5,50,42,92,17947
215870,2013,5,143,212,355,229648
216090,2013,8,326,18,344,27792
216110,2012,8,644,152,796,81320
216130,2012,4,28,97,125,28943
216290,2012,8,165,13,178,20286
216890,2012,8,1074,255,1329,253538
216910,2012,6,791,304,1095,128256
217100,2013,5,391,446,837,50745
217140,2013,5,1351,617,1968,272986
217270,2012,6,120,47,167,14384
217290,2012,8,123,21,144,19651
217690,2013,5,836,445,1281,163293
217790,2012,6,348,138,486,68917
218060,2013,8,2447,203,2650,358624
218410,2012,9,2571,85,2656,179979
218510,2012,6,381,163,544,325744
218640,2012,8,4934,1180,6114,596725
218660,2012,6,107,27,134,20457
218680,2012,8,5742,460,6202,1296525
218740,2012,8,1894,333,2227,278689
219150,2012,9,39104,959,40063,2584720
219190,2013,8,512,54,566,66302
219200,2013,8,253,49,302,61886
219340,2013,6,553,182,735,346032
219640,2012,8,46448,9497,55945,8260157
219830,2013,8,2743,547,3290,348064
219910,2012,8,1456,135,1591,219442
219950,2012,8,465,65,530,63403
220260,2013,8,3769,342,4111,590518
220440,2013,8,12340,704,13044,987543
220460,2012,8,601,132,733,102678
220740,2012,8,1228,106,1334,249600
220780,2012,8,7140,390,7530,581719
220820,2012,8,1883,340,2223,228360
220900,2013,5,203,121,324,58672
221040,2013,8,12281,3024,15305,1317100
221380,2013,8,45226,2622,47848,5824316
221640,2012,9,18102,542,18644,1045138
221810,2013,8,1528,231,1759,271663
221830,2012,8,244,46,290,40059
222140,2012,6,303,113,416,99411
222480,2013,8,4238,771,5009,503330
222640,2013,6,445,131,576,50924
222660,2013,8,277,44,321,49592
222730,2013,8,3340,808,4148,897320
222940,2013,8,3772,468,4240,456361
223000,2012,8,139,23,162,13944
223220,2012,6,1192,301,1493,335909
223330,2012,6,824,236,1060,41558
223430,2012,4,104,200,304,58437
223450,2013,6,162,46,208,24535
223470,2012,9,29051,1427,30478,1911217
223510,2012,6,695,195,890,92256
223730,2012,8,365,57,422,75324
223810,2013,8,964,119,1083,140737
224260,2013,8,42230,4850,47080,7144320
224460,2013,8,3661,374,4035,182422
