id,year,review_score,total_positive,total_negative,total_reviews,Players
404960,2018,7,17,2,19,316
409490,2018,5,38,24,62,2221
413740,2018,5,20,15,35,1937
414550,2018,6,97,35,132,4908
414870,2018,8,222,47,269,14505
415590,2018,6,403,114,517,31051
416600,2018,8,530,54,584,33451
416830,2018,7,42,4,46,1296
416870,2018,7,41,1,42,3934
417290,2018,8,1384,112,1496,58680
420660,2018,8,47,6,53,660
425450,2018,6,14,6,20,1524
427290,2018,6,2618,907,3525,162765
427680,2018,8,70,4,74,2229
431930,2018,8,101,4,105,7543
434300,2018,4,5,9,14,6087
436470,2018,7,21,2,23,1123
436690,2018,6,24,10,34,1094
437690,2018,7,24,4,28,258
438000,2018,7,42,5,47,4912
440900,2018,6,15438,6596,22034,1140205
441010,2018,8,118,21,139,21989
445000,2018,7,17,1,18,338
445980,2018,8,2003,238,2241,261463
446020,2018,6,2680,759,3439,191656
446120,2018,8,182,29,211,10628
446150,2018,5,1260,789,2049,455442
447120,2018,8,162,25,187,9061
448850,2018,9,613,21,634,13985
449960,2018,8,1713,99,1812,43452
450700,2018,6,114,36,150,17202
453090,2018,8,1051,92,1143,86033
453500,2018,5,18,8,26,656
453690,2018,8,112,23,135,7292
453910,2018,7,9,1,10,275
455820,2018,8,288,50,338,9217
455980,2018,8,789,128,917,73841
456180,2018,7,32,5,37,1293
458330,2018,7,30,3,33,1598
458410,2018,5,30,15,45,4804
458520,2018,5,79,115,194,30574
459830,2018,7,17,1,18,1302
461410,2018,8,54,7,61,2404
462940,2018,6,43,17,60,2882
465020,2018,7,41,2,43,3504
466110,2018,8,431,32,463,9650
466560,2018,8,9069,1217,10286,787294
466860,2018,6,1026,401,1427,43069
467760,2018,8,82,6,88,10401
467820,2018,8,540,40,580,50085
468240,2018,8,76,4,80,10514
468330,2018,7,19,4,23,819
468920,2018,6,250,85,335,13901
469820,2018,8,3615,347,3962,375882
469830,2018,6,314,127,441,46719
470090,2018,7,17,1,18,345
473770,2018,8,846,86,932,101166
475070,2018,7,23,5,28,5484
475960,2018,8,47,4,51,1841
481870,2018,6,186,49,235,20867
485670,2018,5,9,11,20,580
487720,2018,5,787,872,1659,40731
488920,2018,8,166,35,201,14833
489380,2018,8,365,29,394,31463
490220,2018,8,430,81,511,451302
491010,2018,7,17,2,19,23496
492180,2018,7,23,1,24,354
496040,2018,6,23,9,32,787
496290,2018,7,29,7,36,1530
498710,2018,6,81,31,112,14012
500150,2018,6,42,18,60,17451
500260,2018,8,378,74,452,76897
501080,2018,6,506,188,694,39242
501790,2018,8,78,3,81,2397
502720,2018,6,16,6,22,458
503940,2018,8,1988,401,2389,94770
504230,2018,9,2258,50,2308,93498
504430,2018,7,18,4,22,316
504560,2018,7,22,3,25,1072
504920,2018,8,50,2,52,1761
505330,2018,8,57,13,70,2292
